Date,Confirmed
21-02-2020,1
22-02-2020,1
23-02-2020,2
24-02-2020,3
25-02-2020,3
26-02-2020,3
27-02-2020,3
28-02-2020,3
29-02-2020,3
01-03-2020,3
02-03-2020,5
03-03-2020,6
04-03-2020,28
05-03-2020,30
06-03-2020,31
07-03-2020,34
08-03-2020,39
09-03-2020,46
10-03-2020,58
11-03-2020,60
12-03-2020,74
13-03-2020,81
14-03-2020,84
15-03-2020,110
16-03-2020,114
17-03-2020,137
18-03-2020,151
19-03-2020,173
20-03-2020,223
21-03-2020,283
22-03-2020,360
23-03-2020,433
24-03-2020,519
25-03-2020,606
26-03-2020,694
27-03-2020,724
28-03-2020,909
29-03-2020,1024
30-03-2020,1251
31-03-2020,1397
01-04-2020,1834
02-04-2020,2069
03-04-2020,2547
04-04-2020,3072
05-04-2020,3577
06-04-2020,4281
07-04-2020,4789
08-04-2020,5274
09-04-2020,5865
10-04-2020,6761
11-04-2020,7529
12-04-2020,8447
13-04-2020,9352
14-04-2020,10815
15-04-2020,11933
16-04-2020,12759
17-04-2020,13835
18-04-2020,14792
19-04-2020,16116
20-04-2020,17656
21-04-2020,18985
22-04-2020,20471
23-04-2020,21700
24-04-2020,23452
25-04-2020,24893
26-04-2020,26605
27-04-2020,28160
28-04-2020,29834
29-04-2020,31709
30-04-2020,33330
01-05-2020,34972
02-05-2020,37157
03-05-2020,40124
04-05-2020,42836
05-05-2020,46711
06-05-2020,49391
07-05-2020,52952
08-05-2020,56342
09-05-2020,59662
10-05-2020,62939
11-05-2020,67152
12-05-2020,70756
13-05-2020,74281
14-05-2020,78003
15-05-2020,81970
16-05-2020,85710
17-05-2020,90637
18-05-2020,95759
19-05-2020,100325
20-05-2020,106750
21-05-2020,112359
22-05-2020,118447
23-05-2020,125101
24-05-2020,131868
